mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
2.0,"53 km E of Pedro Bay, Alaska",1647725186469,1647726539348,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223lcksvs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223lcksvs&format=geojson,,,,,automatic,0,62,ak,0223lcksvs,",ak0223lcksvs,",",ak,",",origin,phase-data,",,,0.91,,ml,earthquake,"M 2.0 - 53 km E of Pedro Bay, Alaska"
6.3,south of the Fiji Islands,1647725061328,1647811568321,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h62z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h62z&format=geojson,1.0,1.0,0.0,,reviewed,0,611,us,6000h62z,",us6000h62z,usauto6000h62z,at00r90gsm,pt22078000,",",us,usauto,at,pt,",",dyfi,internal-moment-tensor,internal-origin,moment-tensor,origin,phase-data,shakemap,",,4.203,1.24,31.0,mww,earthquake,M 6.3 - south of the Fiji Islands
-0.16,"61 km SE of Pedro Bay, Alaska",1647724968980,1647880506270,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516881,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516881&format=geojson,,,,,reviewed,0,0,av,91516881,",av91516881,",",av,",",origin,phase-data,",4.0,,0.05,191.0,ml,earthquake,"M -0.2 - 61 km SE of Pedro Bay, Alaska"
3.18,"Rat Islands, Aleutian Islands, Alaska",1647724658880,1647880334060,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516876&format=geojson,,,,,reviewed,0,156,av,91516876,",av91516876,",",av,",",origin,phase-data,",9.0,,0.08,337.0,ml,earthquake,"M 3.2 - Rat Islands, Aleutian Islands, Alaska"
2.29,"4 km SE of La Parguera, Puerto Rico",1647724426930,1647725979430,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71340888,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71340888&format=geojson,,,,,reviewed,0,81,pr,71340888,",pr71340888,",",pr,",",origin,phase-data,",6.0,,0.19,249.0,md,earthquake,"M 2.3 - 4 km SE of La Parguera, Puerto Rico"
4.7,"95 km WSW of Coquimbo, Chile",1647723908066,1647740504563,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h62t,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h62t&format=geojson,6.0,2.0,,,reviewed,0,341,us,6000h62t,",us6000h62t,",",us,",",dyfi,moment-tensor,origin,phase-data,",,0.608,0.78,144.0,mwr,earthquake,"M 4.7 - 95 km WSW of Coquimbo, Chile"
1.48,"39 km N of Ivanof Bay, Alaska",1647723831830,1647811413420,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516861&format=geojson,,,,,reviewed,0,34,av,91516861,",av91516861,",",av,",",origin,phase-data,",6.0,,0.31,171.0,ml,earthquake,"M 1.5 - 39 km N of Ivanof Bay, Alaska"
0.84,"6km NW of The Geysers, CA",1647722221400,1647722316366,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707906&format=geojson,,,,,automatic,0,11,nc,73707906,",nc73707906,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.005856,0.01,86.0,md,earthquake,"M 0.8 - 6km NW of The Geysers, CA"
1.74000001,"8 km E of P?hala, Hawaii",1647722122090,1647722319110,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72955902,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72955902&format=geojson,,,,,automatic,0,47,hv,72955902,",hv72955902,",",hv,",",origin,phase-data,",39.0,,0.119999997,172.0,md,earthquake,"M 1.7 - 8 km E of P?hala, Hawaii"
0.85,"7km WNW of Cobb, CA",1647721819340,1647723565442,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707896,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707896&format=geojson,,,,,automatic,0,11,nc,73707896,",nc73707896,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.007704,0.01,90.0,md,earthquake,"M 0.9 - 7km WNW of Cobb, CA"
0.67,"6km NW of The Geysers, CA",1647721472850,1647722895366,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707891&format=geojson,,,,,automatic,0,7,nc,73707891,",nc73707891,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.01003,0.02,46.0,md,earthquake,"M 0.7 - 6km NW of The Geysers, CA"
1.7,"23 km SSW of Susitna, Alaska",1647721105819,1647722825945,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223lbxnh7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223lbxnh7&format=geojson,,,,,automatic,0,44,ak,0223lbxnh7,",ak0223lbxnh7,",",ak,",",origin,phase-data,",,,0.42,,ml,earthquake,"M 1.7 - 23 km SSW of Susitna, Alaska"
4.7,"149 km WNW of Naha, Japan",1647721021154,1647724428040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h62p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h62p&format=geojson,,,,,reviewed,0,340,us,6000h62p,",us6000h62p,",",us,",",origin,phase-data,",,1.65,0.91,77.0,mb,earthquake,"M 4.7 - 149 km WNW of Naha, Japan"
1.6,"47 km E of Stevens Village, Alaska",1647720279844,1647720864444,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223lbuoj3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223lbuoj3&format=geojson,,,,,automatic,0,39,ak,0223lbuoj3,",ak0223lbuoj3,",",ak,",",origin,phase-data,",,,0.94,,ml,earthquake,"M 1.6 - 47 km E of Stevens Village, Alaska"
0.62,"10km SW of Searles Valley, CA",1647719259150,1647882919513,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39972503,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39972503&format=geojson,,,,,reviewed,0,6,ci,39972503,",ci39972503,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.13,0.1,163.0,ml,earthquake,"M 0.6 - 10km SW of Searles Valley, CA"
0.7,"1km N of The Geysers, CA",1647718666810,1647720256114,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707876&format=geojson,,,,,automatic,0,8,nc,73707876,",nc73707876,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01469,0.02,75.0,md,earthquake,"M 0.7 - 1km N of The Geysers, CA"
1.12,"18 km WSW of Leadore, Idaho",1647718529070,1647884573770,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80541129,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80541129&format=geojson,,,,,reviewed,0,19,mb,80541129,",mb80541129,",",mb,",",origin,phase-data,",6.0,0.41,0.2,189.0,ml,earthquake,"M 1.1 - 18 km WSW of Leadore, Idaho"
2.4,"4 km WNW of Nikolaevsk, Alaska",1647718288804,1647723680040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223lbf0hv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223lbf0hv&format=geojson,,,,,automatic,0,89,ak,0223lbf0hv,",us6000h62k,ak0223lbf0hv,",",us,ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 2.4 - 4 km WNW of Nikolaevsk, Alaska"
0.98,"1km W of Hillsborough, CA",1647716748830,1647794751798,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707861&format=geojson,2.0,2.0,,,reviewed,0,15,nc,73707861,",nc73707861,",",nc,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",9.0,0.023,0.09,125.0,md,earthquake,"M 1.0 - 1km W of Hillsborough, CA"
1.79,"16km SE of Lone Pine, CA",1647715856060,1647882680437,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39972471,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39972471&format=geojson,,,,,reviewed,0,49,ci,39972471,",ci39972471,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",29.0,0.1213,0.23,56.0,ml,earthquake,"M 1.8 - 16km SE of Lone Pine, CA"
-0.49,"64 km ENE of Pedro Bay, Alaska",1647715667590,1647879098540,,https://earthquake.usgs.gov/earthquakes/eventpage/av91516761,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91516761&format=geojson,,,,,reviewed,0,0,av,91516761,",av91516761,",",av,",",origin,phase-data,",4.0,,0.23,148.0,ml,earthquake,"M -0.5 - 64 km ENE of Pedro Bay, Alaska"
0.35,"12 km SW of Toston, Montana",1647714960950,1647880283870,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80541099,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80541099&format=geojson,,,,,reviewed,0,2,mb,80541099,",mb80541099,",",mb,",",origin,phase-data,",4.0,0.248,0.07,187.0,md,earthquake,"M 0.4 - 12 km SW of Toston, Montana"
1.92999995,"9 km ENE of P?hala, Hawaii",1647714937280,1647715136700,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72955827,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72955827&format=geojson,,,,,automatic,0,57,hv,72955827,",hv72955827,",",hv,",",origin,phase-data,",43.0,,0.129999995,148.0,md,earthquake,"M 1.9 - 9 km ENE of P?hala, Hawaii"
2.0,"34 km NW of Ninilchik, Alaska",1647713471801,1647714179989,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223lap97g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223lap97g&format=geojson,,,,,automatic,0,62,ak,0223lap97g,",ak0223lap97g,",",ak,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 2.0 - 34 km NW of Ninilchik, Alaska"
1.3,"34 km SE of Mina, Nevada",1647713411477,1647713679437,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00835677,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00835677&format=geojson,,,,,automatic,0,26,nn,00835677,",nn00835677,",",nn,",",origin,phase-data,",10.0,0.117,0.2,186.51,ml,earthquake,"M 1.3 - 34 km SE of Mina, Nevada"
1.18,"7km WNW of Cobb, CA",1647712982600,1647890964231,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707846,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707846&format=geojson,1.0,0.0,,,reviewed,0,21,nc,73707846,",nc73707846,",",nc,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.01284,0.04,53.0,md,earthquake,"M 1.2 - 7km WNW of Cobb, CA"
0.84,"6km NW of The Geysers, CA",1647712642270,1647714433504,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707841,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707841&format=geojson,,,,,automatic,0,11,nc,73707841,",nc73707841,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.008166,0.01,90.0,md,earthquake,"M 0.8 - 6km NW of The Geysers, CA"
4.8,"199 km S of Burica, Panama",1647711945639,1647714475040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h629,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h629&format=geojson,,,,,reviewed,0,354,us,6000h629,",us6000h629,",",us,",",origin,phase-data,",,2.542,1.15,79.0,mb,earthquake,"M 4.8 - 199 km S of Burica, Panama"
2.3,,1647711726619,1647712385087,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223laagj3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223laagj3&format=geojson,,,,,automatic,0,81,ak,0223laagj3,",ak0223laagj3,",",ak,",",origin,phase-data,",,,0.66,,ml,earthquake,M 2.3 - 
3.01,"0 km W of Sumidero, Puerto Rico",1647711309460,1647739424388,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71340878,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71340878&format=geojson,1.0,2.7,,,reviewed,0,140,pr,71340878,",pr71340878,",",pr,",",dyfi,origin,phase-data,",17.0,,0.17,82.0,md,earthquake,"M 3.0 - 0 km W of Sumidero, Puerto Rico"
1.78,"12 km ESE of Lincoln, Montana",1647711207710,1647873607760,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80540979,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80540979&format=geojson,,,,,reviewed,0,49,mb,80540979,",mb80540979,",",mb,",",origin,phase-data,",20.0,0.079,0.23,76.0,ml,earthquake,"M 1.8 - 12 km ESE of Lincoln, Montana"
0.93,"4km W of Cobb, CA",1647710883440,1647711853258,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707836,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707836&format=geojson,,,,,automatic,0,13,nc,73707836,",nc73707836,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.006885,0.02,122.0,md,earthquake,"M 0.9 - 4km W of Cobb, CA"
2.3,,1647710661854,1647711420579,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0223la6mob,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0223la6mob&format=geojson,,,,,automatic,0,81,ak,0223la6mob,",ak0223la6mob,",",ak,",",origin,phase-data,",,,0.3,,ml,earthquake,M 2.3 - 
3.5,,1647710556050,1647801276297,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72955787,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72955787&format=geojson,10.0,3.1,3.76,,reviewed,0,192,hv,72955787,",hv72955787,us6000h620,",",hv,us,",",dyfi,origin,phase-data,shakemap,",58.0,,0.11,71.0,ml,earthquake,M 3.5 - 
0.86,"4km W of Cobb, CA",1647709749090,1647710970311,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707831,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707831&format=geojson,,,,,automatic,0,11,nc,73707831,",nc73707831,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.01035,0.03,120.0,md,earthquake,"M 0.9 - 4km W of Cobb, CA"
3.58,"4km ENE of Corralitos, CA",1647709181390,1647885565971,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707826,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707826&format=geojson,724.0,4.1,3.967,,reviewed,0,494,nc,73707826,",nc73707826,us6000h61y,",",nc,us,",",dyfi,focal-mechanism,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shakemap,",155.0,0.04548,0.19,51.0,mw,earthquake,"M 3.6 - 4km ENE of Corralitos, CA"
0.37,"4km W of Cobb, CA",1647708823130,1647888913211,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707821,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707821&format=geojson,,,,,reviewed,0,2,nc,73707821,",nc73707821,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.007917,0.04,81.0,md,earthquake,"M 0.4 - 4km W of Cobb, CA"
1.18,"3 km NW of North Sultan, Washington",1647708765850,1647749349800,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61814612,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61814612&format=geojson,,,,,reviewed,0,21,uw,61814612,",uw61814612,",",uw,",",origin,phase-data,",13.0,0.03071,0.07,99.0,ml,earthquake,"M 1.2 - 3 km NW of North Sultan, Washington"
1.01,"2km SSW of Tres Pinos, CA",1647708556300,1647768433911,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707816,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707816&format=geojson,,,,,reviewed,0,16,nc,73707816,",nc73707816,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.07108,0.07,133.0,md,earthquake,"M 1.0 - 2km SSW of Tres Pinos, CA"
4.7,,1647707546186,1647711098040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h61w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h61w&format=geojson,,,,,reviewed,0,340,us,6000h61w,",us6000h61w,",",us,",",origin,phase-data,",,1.551,0.92,90.0,mb,earthquake,M 4.7 - 
4.9,"136 km ESE of Kokopo, Papua New Guinea",1647706871570,1647708472040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h61u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000h61u&format=geojson,,,,,reviewed,0,369,us,6000h61u,",us6000h61u,",",us,",",origin,phase-data,",,7.92,1.14,99.0,mb,earthquake,"M 4.9 - 136 km ESE of Kokopo, Papua New Guinea"
1.15,"9km WNW of Cobb, CA",1647706712090,1647711676243,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707806,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707806&format=geojson,,,,,automatic,0,20,nc,73707806,",nc73707806,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.009501,0.02,63.0,md,earthquake,"M 1.2 - 9km WNW of Cobb, CA"
0.46,"7km W of Cobb, CA",1647706210200,1647706304660,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707801,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707801&format=geojson,,,,,automatic,0,3,nc,73707801,",nc73707801,",",nc,",",nearby-cities,origin,phase-data,",14.0,0.008959,0.01,63.0,md,earthquake,"M 0.5 - 7km W of Cobb, CA"
0.74,"7km WNW of The Geysers, CA",1647706031860,1647706124545,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73707791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73707791&format=geojson,,,,,automatic,0,8,nc,73707791,",nc73707791,",",nc,",",nearby-cities,origin,phase-data,",13.0,0.001465,0.03,66.0,md,earthquake,"M 0.7 - 7km WNW of The Geysers, CA"
